date,he,actual_pool_price,actual_ail,hour_ahead_pool_price_forecast,export_bc,export_mt,export_sk,import_bc,import_mt,import_sk
2001-01-01,1,141.4,5732,141.0,450,,0,0,,50
2001-01-01,2,141.41,5595,141.0,520,,0,0,,50
2001-01-01,3,141.4,5457,141.0,520,,0,0,,50
2001-01-01,4,141.37,5369,141.0,520,,0,0,,50
2001-01-01,5,141.36,5328,141.0,520,,0,0,,50
2001-01-01,6,141.36,5332,141.0,520,,0,0,,50
2001-01-01,7,141.37,5396,141.0,520,,0,0,,55
2001-01-01,8,141.37,5449,141.0,450,,0,0,,55
2001-01-01,9,141.37,5491,141.0,490,,0,0,,105
2001-01-01,10,141.36,5529,148.0,490,,0,0,,105
2001-01-01,11,141.36,5673,141.0,490,,0,0,,130
2001-01-01,12,141.4,5801,141.0,490,,0,0,,50
2001-01-01,13,141.4,5875,141.0,490,,0,0,,130
2001-01-01,14,141.4,5892,141.0,490,,0,0,,130
2001-01-01,15,141.4,5875,141.0,490,,0,0,,130
2001-01-01,16,141.4,5909,141.0,490,,0,0,,130
2001-01-01,17,141.41,6087,141.0,260,,0,0,,130
2001-01-01,18,141.42,6486,200.0,170,,0,0,,105
2001-01-01,19,141.42,6428,180.0,170,,0,0,,50
2001-01-01,20,141.42,6378,141.0,170,,0,0,,50
2001-01-01,21,141.42,6351,141.0,170,,0,0,,50
2001-01-01,22,141.42,6260,141.0,170,,0,0,,130
2001-01-01,23,141.42,6044,141.0,340,,0,0,,130
2001-01-01,24,141.41,5761,141.0,450,,0,0,,90
2001-01-02,1,141.39,5593,141.0,520,,0,0,,100
2001-01-02,2,141.32,5459,141.0,520,,0,0,,153
2001-01-02,3,124.09,5369,141.0,520,,0,0,,153
2001-01-02,4,69.01,5368,95.0,520,,0,0,,153
2001-01-02,5,93.47,5409,95.0,520,,0,0,,153
2001-01-02,6,132.95,5480,141.0,520,,0,0,,50
2001-01-02,7,166.53,5782,165.0,450,,0,0,,50
2001-01-02,8,204.32,6175,221.0,220,,0,0,,100
2001-01-02,9,305.19,6421,300.0,260,,0,0,,100
2001-01-02,10,185.2,6450,275.0,100,,0,50,,100
2001-01-02,11,207.28,6524,201.71,160,,0,0,,100
2001-01-02,12,223.14,6538,227.71,200,,0,0,,100
2001-01-02,13,201.71,6525,201.71,180,,0,0,,100
2001-01-02,14,201.71,6520,200.0,180,,0,0,,100
2001-01-02,15,200.34,6500,200.0,180,,0,0,,100
2001-01-02,16,179.58,6525,181.23,0,,0,0,,100
2001-01-02,17,250.55,6726,200.0,0,,0,0,,75
2001-01-02,18,188.06,6981,181.0,0,,0,142,,140
2001-01-02,19,201.71,6875,181.0,40,,0,0,,153
2001-01-02,20,208.37,6765,200.0,170,,0,0,,153
2001-01-02,21,235.0,6625,350.0,170,,0,0,,50
2001-01-02,22,232.97,6419,300.0,50,,0,0,,153
2001-01-02,23,181.86,6149,141.0,340,,0,0,,153
2001-01-02,24,141.4,5823,141.0,450,,0,0,,153
2001-01-03,1,110.07,5617,120.0,520,,0,0,,50
2001-01-03,2,95.41,5478,95.0,590,,0,0,,50
2001-01-03,3,95.41,5413,95.0,590,,0,0,,50
2001-01-03,4,95.37,5366,95.0,590,,0,0,,50
2001-01-03,5,95.37,5373,95.0,590,,0,0,,50
2001-01-03,6,96.13,5475,95.0,520,,0,0,,50
2001-01-03,7,146.72,5738,160.0,450,,0,0,,50
2001-01-03,8,128.44,6090,220.0,220,,0,0,,50
2001-01-03,9,152.81,6490,265.0,260,,0,0,,55
2001-01-03,10,192.42,6432,192.0,260,,0,0,,55
2001-01-03,11,192.42,6453,192.0,260,,0,0,,78
2001-01-03,12,192.42,6524,220.0,260,,0,0,,100
2001-01-03,13,188.57,6495,192.0,260,,0,0,,100
2001-01-03,14,184.71,6462,120.0,260,,0,0,,100
2001-01-03,15,184.71,6441,120.0,260,,0,0,,100
2001-01-03,16,184.71,6479,192.0,260,,0,0,,100
2001-01-03,17,184.71,6686,220.0,0,,0,50,,153
2001-01-03,18,206.43,6981,184.0,90,,0,0,,100
2001-01-03,19,188.81,6826,184.0,90,,0,0,,100
2001-01-03,20,184.71,6752,172.0,90,,0,0,,100
2001-01-03,21,184.71,6637,192.0,170,,0,0,,100
2001-01-03,22,220.0,6464,220.0,260,,0,0,,153
2001-01-03,23,189.65,6148,192.0,340,,0,0,,153
2001-01-03,24,120.77,5874,150.0,450,,0,0,,100
2001-01-04,1,97.88,5694,97.89,520,,0,0,,127
2001-01-04,2,97.89,5567,97.85,590,,0,0,,50
2001-01-04,3,97.89,5502,97.89,590,,0,0,,50
2001-01-04,4,97.89,5465,97.89,590,,0,0,,50
2001-01-04,5,97.89,5466,97.89,590,,0,0,,50
2001-01-04,6,97.89,5576,97.89,520,,0,0,,50
2001-01-04,7,115.47,5866,97.9,450,,0,0,,50
2001-01-04,8,117.07,6253,117.0,220,,0,0,,50
2001-01-04,9,110.21,6495,117.0,215,,0,0,,50
